Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths
,Pakistan,30.3753,69.3451,2020-02-07,0,0
,Panama,8.538,-80.7821,2020-02-07,0,0
,Papua New Guinea,-6.315,143.9555,2020-02-07,0,0
,Paraguay,-23.4425,-58.4438,2020-02-07,0,0
,Peru,-9.19,-75.0152,2020-02-07,0,0
,Philippines,13.0,122.0,2020-02-07,3,1
,Poland,51.9194,19.1451,2020-02-07,0,0
,Portugal,39.3999,-8.2245,2020-02-07,0,0
,Qatar,25.3548,51.1839,2020-02-07,0,0
,Romania,45.9432,24.9668,2020-02-07,0,0
,Russia,60.0,90.0,2020-02-07,2,0
,Rwanda,-1.9403,29.8739,2020-02-07,0,0
,Saint Lucia,13.9094,-60.9789,2020-02-07,0,0
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-02-07,0,0
,San Marino,43.9424,12.4578,2020-02-07,0,0
,Saudi Arabia,24.0,45.0,2020-02-07,0,0
,Senegal,14.4974,-14.4524,2020-02-07,0,0
,Serbia,44.0165,21.0059,2020-02-07,0,0
,Seychelles,-4.6796,55.492,2020-02-07,0,0
,Singapore,1.2833,103.8333,2020-02-07,30,0
,Slovakia,48.669,19.699,2020-02-07,0,0
,Slovenia,46.1512,14.9955,2020-02-07,0,0
,Somalia,5.1521,46.1996,2020-02-07,0,0
,South Africa,-30.5595,22.9375,2020-02-07,0,0
,Spain,40.0,-4.0,2020-02-07,1,0
,Sri Lanka,7.0,81.0,2020-02-07,1,0
,Sudan,12.8628,30.2176,2020-02-07,0,0
,Suriname,3.9193,-56.0278,2020-02-07,0,0
,Sweden,63.0,16.0,2020-02-07,1,0
,Switzerland,46.8182,8.2275,2020-02-07,0,0
,Taiwan*,23.7,121.0,2020-02-07,16,0
,Tanzania,-6.369,34.8888,2020-02-07,0,0
,Thailand,15.0,101.0,2020-02-07,25,0
,Togo,8.6195,0.8248,2020-02-07,0,0
,Trinidad and Tobago,10.6918,-61.2225,2020-02-07,0,0
,Tunisia,34.0,9.0,2020-02-07,0,0
,Turkey,38.9637,35.2433,2020-02-07,0,0
,Uganda,1.0,32.0,2020-02-07,0,0
,Ukraine,48.3794,31.1656,2020-02-07,0,0
,United Arab Emirates,24.0,54.0,2020-02-07,5,0
Bermuda,United Kingdom,32.3078,-64.7505,2020-02-07,0,0
Cayman Islands,United Kingdom,19.3133,-81.2546,2020-02-07,0,0
Channel Islands,United Kingdom,49.3723,-2.3644,2020-02-07,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,2020-02-07,0,0
Isle of Man,United Kingdom,54.2361,-4.5481,2020-02-07,0,0
Montserrat,United Kingdom,16.7425,-62.1874,2020-02-07,0,0
,United Kingdom,55.3781,-3.4360000000000004,2020-02-07,3,0
,Uruguay,-32.5228,-55.7658,2020-02-07,0,0
,US,37.0902,-95.7129,2020-02-07,11,0
,Uzbekistan,41.3775,64.5853,2020-02-07,0,0
,Venezuela,6.4238,-66.5897,2020-02-07,0,0
,Vietnam,16.0,108.0,2020-02-07,10,0
,Zambia,-15.4167,28.2833,2020-02-07,0,0
,Zimbabwe,-20.0,30.0,2020-02-07,0,0
Diamond Princess,Canada,0.0,0.0,2020-02-07,0,0
,Dominica,15.415,-61.371,2020-02-07,0,0
,Grenada,12.1165,-61.679,2020-02-07,0,0
,Mozambique,-18.665695,35.529562,2020-02-07,0,0
,Syria,34.802075,38.99681500000001,2020-02-07,0,0
,Timor-Leste,-8.874217,125.727539,2020-02-07,0,0
,Belize,13.1939,-59.5432,2020-02-07,0,0
Recovered,Canada,0.0,0.0,2020-02-07,0,0
,Laos,19.85627,102.495496,2020-02-07,0,0
,Libya,26.3351,17.228331,2020-02-07,0,0
,West Bank and Gaza,31.9522,35.2332,2020-02-07,0,0
,Guinea-Bissau,11.8037,-15.1804,2020-02-07,0,0
,Mali,17.570692,-3.996166000000001,2020-02-07,0,0
,Saint Kitts and Nevis,17.357822,-62.782998,2020-02-07,0,0
Northwest Territories,Canada,64.8255,-124.8457,2020-02-07,0,0
Yukon,Canada,64.2823,-135.0,2020-02-07,0,0
,Kosovo,42.602636,20.902977,2020-02-07,0,0
,Burma,21.9162,95.956,2020-02-07,0,0
Anguilla,United Kingdom,18.2206,-63.0686,2020-02-07,0,0
British Virgin Islands,United Kingdom,18.4207,-64.64,2020-02-07,0,0
,MS Zaandam,0.0,0.0,2020-02-07,0,0
,Botswana,-22.3285,24.6849,2020-02-07,0,0
,Burundi,-3.3731,29.9189,2020-02-07,0,0
,Sierra Leone,8.460555000000001,-11.779889,2020-02-07,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,2020-02-07,0,0
,Malawi,-13.254307999999998,34.301525,2020-02-07,0,0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-02-07,0,0
Saint Pierre and Miquelon,France,46.8852,-56.3159,2020-02-07,0,0
,South Sudan,6.877000000000002,31.307,2020-02-07,0,0
,Western Sahara,24.2155,-12.8858,2020-02-07,0,0
,Sao Tome and Principe,0.18636,6.613081,2020-02-07,0,0
,Afghanistan,33.0,65.0,2020-02-08,0,0
,Albania,41.1533,20.1683,2020-02-08,0,0
,Algeria,28.0339,1.6596,2020-02-08,0,0
,Andorra,42.5063,1.5218,2020-02-08,0,0
,Angola,-11.2027,17.8739,2020-02-08,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-08,0,0
,Argentina,-38.4161,-63.6167,2020-02-08,0,0
,Armenia,40.0691,45.0382,2020-02-08,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-08,0,0
New South Wales,Australia,-33.8688,151.2093,2020-02-08,4,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-08,0,0
Queensland,Australia,-28.0167,153.4,2020-02-08,5,0
South Australia,Australia,-34.9285,138.6007,2020-02-08,2,0
Tasmania,Australia,-41.4545,145.9707,2020-02-08,0,0
Victoria,Australia,-37.8136,144.9631,2020-02-08,4,0
Western Australia,Australia,-31.9505,115.8605,2020-02-08,0,0
,Austria,47.5162,14.5501,2020-02-08,0,0
,Azerbaijan,40.1431,47.5769,2020-02-08,0,0
,Bahamas,25.0343,-77.3963,2020-02-08,0,0
,Bahrain,26.0275,50.55,2020-02-08,0,0
,Bangladesh,23.685,90.3563,2020-02-08,0,0
,Barbados,13.1939,-59.5432,2020-02-08,0,0
,Belarus,53.7098,27.9534,2020-02-08,0,0
,Belgium,50.8333,4.0,2020-02-08,1,0
,Benin,9.3077,2.3158,2020-02-08,0,0
,Bhutan,27.5142,90.4336,2020-02-08,0,0
,Bolivia,-16.2902,-63.5887,2020-02-08,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2020-02-08,0,0
,Brazil,-14.235,-51.9253,2020-02-08,0,0
,Brunei,4.5353,114.7277,2020-02-08,0,0
,Bulgaria,42.7339,25.4858,2020-02-08,0,0
,Burkina Faso,12.2383,-1.5616,2020-02-08,0,0
,Cabo Verde,16.5388,-23.0418,2020-02-08,0,0
,Cambodia,11.55,104.9167,2020-02-08,1,0
,Cameroon,3.848,11.5021,2020-02-08,0,0
Alberta,Canada,53.9333,-116.5765,2020-02-08,0,0
British Columbia,Canada,49.2827,-123.1207,2020-02-08,4,0
Grand Princess,Canada,37.6489,-122.6655,2020-02-08,0,0
Manitoba,Canada,53.7609,-98.8139,2020-02-08,0,0
New Brunswick,Canada,46.5653,-66.4619,2020-02-08,0,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-08,0,0
Nova Scotia,Canada,44.682,-63.7443,2020-02-08,0,0
Ontario,Canada,51.2538,-85.3232,2020-02-08,3,0
Prince Edward Island,Canada,46.5107,-63.4168,2020-02-08,0,0
Quebec,Canada,52.9399,-73.5491,2020-02-08,0,0
Saskatchewan,Canada,52.9399,-106.4509,2020-02-08,0,0
,Central African Republic,6.6111,20.9394,2020-02-08,0,0
,Chad,15.4542,18.7322,2020-02-08,0,0
,Chile,-35.6751,-71.543,2020-02-08,0,0
Anhui,China,31.8257,117.2264,2020-02-08,733,0
Beijing,China,40.1824,116.4142,2020-02-08,315,2
Chongqing,China,30.0572,107.874,2020-02-08,428,2
Fujian,China,26.0789,117.9874,2020-02-08,239,0
Gansu,China,37.8099,101.0583,2020-02-08,79,1
Guangdong,China,23.3417,113.4244,2020-02-08,1095,1
Guangxi,China,23.8298,108.7881,2020-02-08,183,0
Guizhou,China,26.8154,106.8748,2020-02-08,89,1
Hainan,China,19.1959,109.7453,2020-02-08,124,2
Hebei,China,39.549,116.1306,2020-02-08,195,1
Heilongjiang,China,47.862,127.7615,2020-02-08,295,5
Henan,China,33.882,113.614,2020-02-08,981,4
Hong Kong,China,22.3,114.2,2020-02-08,26,1
Hubei,China,30.9756,112.2707,2020-02-08,27100,780
Hunan,China,27.6104,111.7088,2020-02-08,803,1
Inner Mongolia,China,44.0935,113.9448,2020-02-08,52,0
Jiangsu,China,32.9711,119.455,2020-02-08,439,0
Jiangxi,China,27.614,115.7221,2020-02-08,698,0
Jilin,China,43.6661,126.1923,2020-02-08,69,1
Liaoning,China,41.2956,122.6085,2020-02-08,105,0
Macau,China,22.1667,113.55,2020-02-08,10,0
Ningxia,China,37.2692,106.1655,2020-02-08,45,0
Qinghai,China,35.7452,95.9956,2020-02-08,18,0
Shaanxi,China,35.1917,108.8701,2020-02-08,195,0
Shandong,China,36.3427,118.1498,2020-02-08,416,0
Shanghai,China,31.202,121.4491,2020-02-08,286,1
Shanxi,China,37.5777,112.2922,2020-02-08,115,0
Sichuan,China,30.6171,102.7103,2020-02-08,364,1
Tianjin,China,39.3054,117.323,2020-02-08,88,1
Tibet,China,31.6927,88.0924,2020-02-08,1,0
Xinjiang,China,41.1129,85.2401,2020-02-08,42,0
Yunnan,China,24.974,101.487,2020-02-08,138,0
Zhejiang,China,29.1832,120.0934,2020-02-08,1048,0
,Colombia,4.5709,-74.2973,2020-02-08,0,0
,Congo (Brazzaville),-4.0383,21.7587,2020-02-08,0,0
,Congo (Kinshasa),-4.0383,21.7587,2020-02-08,0,0
,Costa Rica,9.7489,-83.7534,2020-02-08,0,0
,Cote d'Ivoire,7.54,-5.5471,2020-02-08,0,0
,Croatia,45.1,15.2,2020-02-08,0,0
,Diamond Princess,0.0,0.0,2020-02-08,61,0
,Cuba,22.0,-80.0,2020-02-08,0,0
,Cyprus,35.1264,33.4299,2020-02-08,0,0
,Czechia,49.8175,15.473,2020-02-08,0,0
Faroe Islands,Denmark,61.8926,-6.9118,2020-02-08,0,0
Greenland,Denmark,71.7069,-42.6043,2020-02-08,0,0
,Denmark,56.2639,9.5018,2020-02-08,0,0
,Djibouti,11.8251,42.5903,2020-02-08,0,0
,Dominican Republic,18.7357,-70.1627,2020-02-08,0,0
,Ecuador,-1.8312,-78.1834,2020-02-08,0,0
,Egypt,26.0,30.0,2020-02-08,0,0
,El Salvador,13.7942,-88.8965,2020-02-08,0,0
,Equatorial Guinea,1.5,10.0,2020-02-08,0,0
,Eritrea,15.1794,39.7823,2020-02-08,0,0
,Estonia,58.5953,25.0136,2020-02-08,0,0
,Eswatini,-26.5225,31.4659,2020-02-08,0,0
,Ethiopia,9.145,40.4897,2020-02-08,0,0
,Fiji,-17.7134,178.065,2020-02-08,0,0
,Finland,64.0,26.0,2020-02-08,1,0
French Guiana,France,3.9339,-53.1258,2020-02-08,0,0
French Polynesia,France,-17.6797,149.4068,2020-02-08,0,0
Guadeloupe,France,16.25,-61.5833,2020-02-08,0,0
Mayotte,France,-12.8275,45.1662,2020-02-08,0,0
New Caledonia,France,-20.9043,165.618,2020-02-08,0,0
Reunion,France,-21.1351,55.2471,2020-02-08,0,0
Saint Barthelemy,France,17.9,-62.8333,2020-02-08,0,0
St Martin,France,18.0708,-63.0501,2020-02-08,0,0
Martinique,France,14.6415,-61.0242,2020-02-08,0,0
,France,46.2276,2.2137,2020-02-08,11,0
,Gabon,-0.8037,11.6094,2020-02-08,0,0
,Gambia,13.4432,-15.3101,2020-02-08,0,0
,Georgia,42.3154,43.3569,2020-02-08,0,0
,Germany,51.0,9.0,2020-02-08,13,0
,Ghana,7.9465,-1.0232,2020-02-08,0,0
,Greece,39.0742,21.8243,2020-02-08,0,0
,Guatemala,15.7835,-90.2308,2020-02-08,0,0
,Guinea,9.9456,-9.6966,2020-02-08,0,0
,Guyana,5.0,-58.75,2020-02-08,0,0
,Haiti,18.9712,-72.2852,2020-02-08,0,0
,Holy See,41.9029,12.4534,2020-02-08,0,0
,Honduras,15.2,-86.2419,2020-02-08,0,0
,Hungary,47.1625,19.5033,2020-02-08,0,0
,Iceland,64.9631,-19.0208,2020-02-08,0,0
,India,21.0,78.0,2020-02-08,3,0
,Indonesia,-0.7893,113.9213,2020-02-08,0,0
,Iran,32.0,53.0,2020-02-08,0,0
,Iraq,33.0,44.0,2020-02-08,0,0
,Ireland,53.1424,-7.6921,2020-02-08,0,0
,Israel,31.0,35.0,2020-02-08,0,0
,Italy,43.0,12.0,2020-02-08,3,0
,Jamaica,18.1096,-77.2975,2020-02-08,0,0
,Japan,36.0,138.0,2020-02-08,25,0
,Jordan,31.24,36.51,2020-02-08,0,0
,Kazakhstan,48.0196,66.9237,2020-02-08,0,0
,Kenya,-0.0236,37.9062,2020-02-08,0,0
,"Korea, South",36.0,128.0,2020-02-08,24,0
,Kuwait,29.5,47.75,2020-02-08,0,0
,Kyrgyzstan,41.2044,74.7661,2020-02-08,0,0
,Latvia,56.8796,24.6032,2020-02-08,0,0
,Lebanon,33.8547,35.8623,2020-02-08,0,0
,Liberia,6.4281,-9.4295,2020-02-08,0,0
,Liechtenstein,47.14,9.55,2020-02-08,0,0
,Lithuania,55.1694,23.8813,2020-02-08,0,0
,Luxembourg,49.8153,6.1296,2020-02-08,0,0
,Madagascar,-18.7669,46.8691,2020-02-08,0,0
,Malaysia,2.5,112.5,2020-02-08,16,0
,Maldives,3.2028,73.2207,2020-02-08,0,0
,Malta,35.9375,14.3754,2020-02-08,0,0
,Mauritania,21.0079,10.9408,2020-02-08,0,0
,Mauritius,-20.2,57.5,2020-02-08,0,0
,Mexico,23.6345,-102.5528,2020-02-08,0,0
,Moldova,47.4116,28.3699,2020-02-08,0,0
,Monaco,43.7333,7.4167,2020-02-08,0,0
,Mongolia,46.8625,103.8467,2020-02-08,0,0
,Montenegro,42.5,19.3,2020-02-08,0,0
,Morocco,31.7917,-7.0926,2020-02-08,0,0
,Namibia,-22.9576,18.4904,2020-02-08,0,0
,Nepal,28.1667,84.25,2020-02-08,1,0
Aruba,Netherlands,12.5186,-70.0358,2020-02-08,0,0
Curacao,Netherlands,12.1696,-68.99,2020-02-08,0,0
Sint Maarten,Netherlands,18.0425,-63.0548,2020-02-08,0,0
,Netherlands,52.1326,5.2913,2020-02-08,0,0
,New Zealand,-40.9006,174.886,2020-02-08,0,0
,Nicaragua,12.8654,-85.2072,2020-02-08,0,0
,Niger,17.6078,8.0817,2020-02-08,0,0
,Nigeria,9.082,8.6753,2020-02-08,0,0
,North Macedonia,41.6086,21.7453,2020-02-08,0,0
,Norway,60.472,8.4689,2020-02-08,0,0
,Oman,21.0,57.0,2020-02-08,0,0
,Pakistan,30.3753,69.3451,2020-02-08,0,0
,Panama,8.538,-80.7821,2020-02-08,0,0
,Papua New Guinea,-6.315,143.9555,2020-02-08,0,0
,Paraguay,-23.4425,-58.4438,2020-02-08,0,0
,Peru,-9.19,-75.0152,2020-02-08,0,0
,Philippines,13.0,122.0,2020-02-08,3,1
,Poland,51.9194,19.1451,2020-02-08,0,0
,Portugal,39.3999,-8.2245,2020-02-08,0,0
,Qatar,25.3548,51.1839,2020-02-08,0,0
,Romania,45.9432,24.9668,2020-02-08,0,0
,Russia,60.0,90.0,2020-02-08,2,0
,Rwanda,-1.9403,29.8739,2020-02-08,0,0
,Saint Lucia,13.9094,-60.9789,2020-02-08,0,0
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-02-08,0,0
,San Marino,43.9424,12.4578,2020-02-08,0,0
,Saudi Arabia,24.0,45.0,2020-02-08,0,0
,Senegal,14.4974,-14.4524,2020-02-08,0,0
,Serbia,44.0165,21.0059,2020-02-08,0,0
,Seychelles,-4.6796,55.492,2020-02-08,0,0
,Singapore,1.2833,103.8333,2020-02-08,33,0
,Slovakia,48.669,19.699,2020-02-08,0,0
,Slovenia,46.1512,14.9955,2020-02-08,0,0
,Somalia,5.1521,46.1996,2020-02-08,0,0
,South Africa,-30.5595,22.9375,2020-02-08,0,0
,Spain,40.0,-4.0,2020-02-08,1,0
,Sri Lanka,7.0,81.0,2020-02-08,1,0
,Sudan,12.8628,30.2176,2020-02-08,0,0
,Suriname,3.9193,-56.0278,2020-02-08,0,0
,Sweden,63.0,16.0,2020-02-08,1,0
,Switzerland,46.8182,8.2275,2020-02-08,0,0
,Taiwan*,23.7,121.0,2020-02-08,17,0
,Tanzania,-6.369,34.8888,2020-02-08,0,0
,Thailand,15.0,101.0,2020-02-08,32,0
,Togo,8.6195,0.8248,2020-02-08,0,0
,Trinidad and Tobago,10.6918,-61.2225,2020-02-08,0,0
,Tunisia,34.0,9.0,2020-02-08,0,0
,Turkey,38.9637,35.2433,2020-02-08,0,0
,Uganda,1.0,32.0,2020-02-08,0,0
,Ukraine,48.3794,31.1656,2020-02-08,0,0
,United Arab Emirates,24.0,54.0,2020-02-08,7,0
Bermuda,United Kingdom,32.3078,-64.7505,2020-02-08,0,0
Cayman Islands,United Kingdom,19.3133,-81.2546,2020-02-08,0,0
Channel Islands,United Kingdom,49.3723,-2.3644,2020-02-08,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,2020-02-08,0,0
Isle of Man,United Kingdom,54.2361,-4.5481,2020-02-08,0,0
Montserrat,United Kingdom,16.7425,-62.1874,2020-02-08,0,0
,United Kingdom,55.3781,-3.4360000000000004,2020-02-08,3,0
,Uruguay,-32.5228,-55.7658,2020-02-08,0,0
,US,37.0902,-95.7129,2020-02-08,11,0
,Uzbekistan,41.3775,64.5853,2020-02-08,0,0
,Venezuela,6.4238,-66.5897,2020-02-08,0,0
,Vietnam,16.0,108.0,2020-02-08,13,0
,Zambia,-15.4167,28.2833,2020-02-08,0,0
,Zimbabwe,-20.0,30.0,2020-02-08,0,0
Diamond Princess,Canada,0.0,0.0,2020-02-08,0,0
,Dominica,15.415,-61.371,2020-02-08,0,0
,Grenada,12.1165,-61.679,2020-02-08,0,0
,Mozambique,-18.665695,35.529562,2020-02-08,0,0
,Syria,34.802075,38.99681500000001,2020-02-08,0,0
,Timor-Leste,-8.874217,125.727539,2020-02-08,0,0
,Belize,13.1939,-59.5432,2020-02-08,0,0
Recovered,Canada,0.0,0.0,2020-02-08,0,0
,Laos,19.85627,102.495496,2020-02-08,0,0
,Libya,26.3351,17.228331,2020-02-08,0,0
,West Bank and Gaza,31.9522,35.2332,2020-02-08,0,0
,Guinea-Bissau,11.8037,-15.1804,2020-02-08,0,0
,Mali,17.570692,-3.996166000000001,2020-02-08,0,0
,Saint Kitts and Nevis,17.357822,-62.782998,2020-02-08,0,0
Northwest Territories,Canada,64.8255,-124.8457,2020-02-08,0,0
Yukon,Canada,64.2823,-135.0,2020-02-08,0,0
,Kosovo,42.602636,20.902977,2020-02-08,0,0
,Burma,21.9162,95.956,2020-02-08,0,0
Anguilla,United Kingdom,18.2206,-63.0686,2020-02-08,0,0
British Virgin Islands,United Kingdom,18.4207,-64.64,2020-02-08,0,0
,MS Zaandam,0.0,0.0,2020-02-08,0,0
,Botswana,-22.3285,24.6849,2020-02-08,0,0
,Burundi,-3.3731,29.9189,2020-02-08,0,0
,Sierra Leone,8.460555000000001,-11.779889,2020-02-08,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,2020-02-08,0,0
,Malawi,-13.254307999999998,34.301525,2020-02-08,0,0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-02-08,0,0
Saint Pierre and Miquelon,France,46.8852,-56.3159,2020-02-08,0,0
,South Sudan,6.877000000000002,31.307,2020-02-08,0,0
,Western Sahara,24.2155,-12.8858,2020-02-08,0,0
,Sao Tome and Principe,0.18636,6.613081,2020-02-08,0,0
,Afghanistan,33.0,65.0,2020-02-09,0,0
,Albania,41.1533,20.1683,2020-02-09,0,0
,Algeria,28.0339,1.6596,2020-02-09,0,0
,Andorra,42.5063,1.5218,2020-02-09,0,0
,Angola,-11.2027,17.8739,2020-02-09,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-09,0,0
,Argentina,-38.4161,-63.6167,2020-02-09,0,0
,Armenia,40.0691,45.0382,2020-02-09,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-09,0,0
New South Wales,Australia,-33.8688,151.2093,2020-02-09,4,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-09,0,0
Queensland,Australia,-28.0167,153.4,2020-02-09,5,0
South Australia,Australia,-34.9285,138.6007,2020-02-09,2,0
Tasmania,Australia,-41.4545,145.9707,2020-02-09,0,0
Victoria,Australia,-37.8136,144.9631,2020-02-09,4,0
Western Australia,Australia,-31.9505,115.8605,2020-02-09,0,0
,Austria,47.5162,14.5501,2020-02-09,0,0
,Azerbaijan,40.1431,47.5769,2020-02-09,0,0
,Bahamas,25.0343,-77.3963,2020-02-09,0,0
,Bahrain,26.0275,50.55,2020-02-09,0,0
,Bangladesh,23.685,90.3563,2020-02-09,0,0
,Barbados,13.1939,-59.5432,2020-02-09,0,0
,Belarus,53.7098,27.9534,2020-02-09,0,0
,Belgium,50.8333,4.0,2020-02-09,1,0
,Benin,9.3077,2.3158,2020-02-09,0,0
,Bhutan,27.5142,90.4336,2020-02-09,0,0
,Bolivia,-16.2902,-63.5887,2020-02-09,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2020-02-09,0,0
,Brazil,-14.235,-51.9253,2020-02-09,0,0
,Brunei,4.5353,114.7277,2020-02-09,0,0
,Bulgaria,42.7339,25.4858,2020-02-09,0,0
,Burkina Faso,12.2383,-1.5616,2020-02-09,0,0
,Cabo Verde,16.5388,-23.0418,2020-02-09,0,0
,Cambodia,11.55,104.9167,2020-02-09,1,0
,Cameroon,3.848,11.5021,2020-02-09,0,0
Alberta,Canada,53.9333,-116.5765,2020-02-09,0,0
British Columbia,Canada,49.2827,-123.1207,2020-02-09,4,0
Grand Princess,Canada,37.6489,-122.6655,2020-02-09,0,0
Manitoba,Canada,53.7609,-98.8139,2020-02-09,0,0
New Brunswick,Canada,46.5653,-66.4619,2020-02-09,0,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-09,0,0
Nova Scotia,Canada,44.682,-63.7443,2020-02-09,0,0
Ontario,Canada,51.2538,-85.3232,2020-02-09,3,0
Prince Edward Island,Canada,46.5107,-63.4168,2020-02-09,0,0
Quebec,Canada,52.9399,-73.5491,2020-02-09,0,0
Saskatchewan,Canada,52.9399,-106.4509,2020-02-09,0,0
,Central African Republic,6.6111,20.9394,2020-02-09,0,0
,Chad,15.4542,18.7322,2020-02-09,0,0
,Chile,-35.6751,-71.543,2020-02-09,0,0
Anhui,China,31.8257,117.2264,2020-02-09,779,1
Beijing,China,40.1824,116.4142,2020-02-09,326,2
Chongqing,China,30.0572,107.874,2020-02-09,468,2
Fujian,China,26.0789,117.9874,2020-02-09,250,0
Gansu,China,37.8099,101.0583,2020-02-09,83,2
Guangdong,China,23.3417,113.4244,2020-02-09,1131,1
Guangxi,China,23.8298,108.7881,2020-02-09,195,1
Guizhou,China,26.8154,106.8748,2020-02-09,99,1
Hainan,China,19.1959,109.7453,2020-02-09,131,3
Hebei,China,39.549,116.1306,2020-02-09,206,2
Heilongjiang,China,47.862,127.7615,2020-02-09,307,6
Henan,China,33.882,113.614,2020-02-09,1033,6
Hong Kong,China,22.3,114.2,2020-02-09,29,1
Hubei,China,30.9756,112.2707,2020-02-09,29631,871
Hunan,China,27.6104,111.7088,2020-02-09,838,1
Inner Mongolia,China,44.0935,113.9448,2020-02-09,54,0
Jiangsu,China,32.9711,119.455,2020-02-09,468,0
Jiangxi,China,27.614,115.7221,2020-02-09,740,0
Jilin,China,43.6661,126.1923,2020-02-09,78,1
Liaoning,China,41.2956,122.6085,2020-02-09,107,0
Macau,China,22.1667,113.55,2020-02-09,10,0
Ningxia,China,37.2692,106.1655,2020-02-09,45,0
Qinghai,China,35.7452,95.9956,2020-02-09,18,0
Shaanxi,China,35.1917,108.8701,2020-02-09,208,0
Shandong,China,36.3427,118.1498,2020-02-09,444,1
Shanghai,China,31.202,121.4491,2020-02-09,293,1
Shanxi,China,37.5777,112.2922,2020-02-09,119,0
Sichuan,China,30.6171,102.7103,2020-02-09,386,1
Tianjin,China,39.3054,117.323,2020-02-09,91,1
Tibet,China,31.6927,88.0924,2020-02-09,1,0
Xinjiang,China,41.1129,85.2401,2020-02-09,45,0
Yunnan,China,24.974,101.487,2020-02-09,141,0
Zhejiang,China,29.1832,120.0934,2020-02-09,1075,0
,Colombia,4.5709,-74.2973,2020-02-09,0,0
,Congo (Brazzaville),-4.0383,21.7587,2020-02-09,0,0
,Congo (Kinshasa),-4.0383,21.7587,2020-02-09,0,0
,Costa Rica,9.7489,-83.7534,2020-02-09,0,0
,Cote d'Ivoire,7.54,-5.5471,2020-02-09,0,0
,Croatia,45.1,15.2,2020-02-09,0,0
,Diamond Princess,0.0,0.0,2020-02-09,64,0
,Cuba,22.0,-80.0,2020-02-09,0,0
,Cyprus,35.1264,33.4299,2020-02-09,0,0
,Czechia,49.8175,15.473,2020-02-09,0,0
Faroe Islands,Denmark,61.8926,-6.9118,2020-02-09,0,0
Greenland,Denmark,71.7069,-42.6043,2020-02-09,0,0
,Denmark,56.2639,9.5018,2020-02-09,0,0
,Djibouti,11.8251,42.5903,2020-02-09,0,0
,Dominican Republic,18.7357,-70.1627,2020-02-09,0,0
,Ecuador,-1.8312,-78.1834,2020-02-09,0,0
,Egypt,26.0,30.0,2020-02-09,0,0
,El Salvador,13.7942,-88.8965,2020-02-09,0,0
,Equatorial Guinea,1.5,10.0,2020-02-09,0,0
,Eritrea,15.1794,39.7823,2020-02-09,0,0
,Estonia,58.5953,25.0136,2020-02-09,0,0
,Eswatini,-26.5225,31.4659,2020-02-09,0,0
,Ethiopia,9.145,40.4897,2020-02-09,0,0
,Fiji,-17.7134,178.065,2020-02-09,0,0
,Finland,64.0,26.0,2020-02-09,1,0
French Guiana,France,3.9339,-53.1258,2020-02-09,0,0
French Polynesia,France,-17.6797,149.4068,2020-02-09,0,0
Guadeloupe,France,16.25,-61.5833,2020-02-09,0,0
Mayotte,France,-12.8275,45.1662,2020-02-09,0,0
New Caledonia,France,-20.9043,165.618,2020-02-09,0,0
Reunion,France,-21.1351,55.2471,2020-02-09,0,0
Saint Barthelemy,France,17.9,-62.8333,2020-02-09,0,0
St Martin,France,18.0708,-63.0501,2020-02-09,0,0
Martinique,France,14.6415,-61.0242,2020-02-09,0,0
,France,46.2276,2.2137,2020-02-09,11,0
,Gabon,-0.8037,11.6094,2020-02-09,0,0
,Gambia,13.4432,-15.3101,2020-02-09,0,0
,Georgia,42.3154,43.3569,2020-02-09,0,0
,Germany,51.0,9.0,2020-02-09,14,0
,Ghana,7.9465,-1.0232,2020-02-09,0,0
,Greece,39.0742,21.8243,2020-02-09,0,0
,Guatemala,15.7835,-90.2308,2020-02-09,0,0
,Guinea,9.9456,-9.6966,2020-02-09,0,0
,Guyana,5.0,-58.75,2020-02-09,0,0
,Haiti,18.9712,-72.2852,2020-02-09,0,0
,Holy See,41.9029,12.4534,2020-02-09,0,0
,Honduras,15.2,-86.2419,2020-02-09,0,0
,Hungary,47.1625,19.5033,2020-02-09,0,0
,Iceland,64.9631,-19.0208,2020-02-09,0,0
,India,21.0,78.0,2020-02-09,3,0
